## Z	A	Mass
0	1	1.00866491582
1	1	1.00782503224
1	2	2.01410177811
1	3	3.01604928199
2	3	3.01602932265
3	3	3.030775
1	4	4.026431868
2	4	4.00260325413
3	4	4.027185562
1	5	5.035311493
2	5	5.012057224
3	5	5.0125378
4	5	5.03987
1	6	6.044955437
2	6	6.018885891
3	6	6.01512288742
4	6	6.019726409
5	6	6.0508
1	7	7.052749
2	7	7.027990654
3	7	7.01600343666
4	7	7.016928717
5	7	7.029712
2	8	8.03393439
3	8	8.022486246
4	8	8.005305102
5	8	8.024607316
6	8	8.037643042
2	9	9.043946419
3	9	9.026790191
4	9	9.012183066
5	9	9.013329649
6	9	9.031037207
2	10	10.052815308
3	10	10.035483453
4	10	10.013534695
5	10	10.012936862
6	10	10.016853218
7	10	10.041653543
3	11	11.043723581
4	11	11.021661081
5	11	11.009305166
6	11	11.011432597
7	11	11.026090945
3	12	12.052613941
4	12	12.026922083
5	12	12.014352638
6	12	12
7	12	12.018613182
8	12	12.034261747
3	13	13.061171503
4	13	13.036134507
5	13	13.017779981
6	13	13.00335483521
7	13	13.005738609
8	13	13.024815437
4	14	14.04289292
5	14	14.025404012
6	14	14.00324198843
7	14	14.00307400446
8	14	14.008596706
9	14	14.034315199
4	15	15.053490215
5	15	15.031087953
6	15	15.010599256
7	15	15.00010889894
8	15	15.003065618
9	15	15.017785139
10	15	15.04317298
4	16	16.061672036
5	16	16.03984192
6	16	16.014701256
7	16	16.006101925
8	16	15.9949146196
9	16	16.011465723
10	16	16.025750864
5	17	17.046931399
6	17	17.022578672
7	17	17.008448877
8	17	16.99913175664
9	17	17.002095238
10	17	17.017713959
11	17	17.03776
5	18	18.055601682
6	18	18.026751932
7	18	18.014077565
8	18	17.99915961284
9	18	18.000937325
10	18	18.005708693
11	18	18.026879386
5	19	19.064166
6	19	19.034797596
7	19	19.017022419
8	19	19.00357797
9	19	18.99840316288
10	19	19.001880903
11	19	19.013880272
12	19	19.034169182
5	20	20.073484
6	20	20.040261732
7	20	20.023367295
8	20	20.004075358
9	20	19.999981252
10	20	19.99244017619
11	20	20.007354426
12	20	20.018763075
5	21	21.083017
6	21	21.049
7	21	21.027087573
8	21	21.00865495
9	21	20.999948894
10	21	20.993846685
11	21	20.997654702
12	21	21.011705764
13	21	21.028975
6	22	22.05755399
7	22	22.034100918
8	22	22.009965746
9	22	22.002998809
10	22	21.991385109
11	22	21.994437418
12	22	21.999570654
13	22	22.01954
14	22	22.03579
6	23	23.06889
7	23	23.039421
8	23	23.015696686
9	23	23.003526874
10	23	22.9944669
11	23	22.98976928199
12	23	22.994123941
13	23	23.007244351
14	23	23.02544
7	24	24.05039
8	24	24.019861
9	24	24.00809937
10	24	23.993610645
11	24	23.990963011
12	24	23.985041697
13	24	23.999947541
14	24	24.011535441
15	24	24.03577
7	25	25.0601
8	25	25.029338919
9	25	25.012167727
10	25	24.997814799
11	25	24.989953973
12	25	24.985836964
13	25	24.990428306
14	25	25.004108801
15	25	25.02119
8	26	26.037210155
9	26	26.020020392
10	26	26.000516496
11	26	25.992634649
12	26	25.982592971
13	26	25.986891863
14	26	25.992333804
15	26	26.01178
16	26	26.02907
8	27	27.047955
9	27	27.027322
10	27	27.007569462
11	27	26.994076408
12	27	26.984340628
13	27	26.981538408
14	27	26.986704688
15	27	26.999224409
16	27	27.01828
8	28	28.05591
9	28	28.036223095
10	28	28.012130767
11	28	27.998939
12	28	27.983876606
13	28	27.981910087
14	28	27.97692653499
15	28	27.992326585
16	28	28.004372766
17	28	28.02954
9	29	29.043103
10	29	29.019753
11	29	29.002877092
12	29	28.988617393
13	29	28.980453164
14	29	28.97649466525
15	29	28.981800368
16	29	28.996611448
17	29	29.014130178
9	30	30.05165
10	30	30.024992235
11	30	30.009097932
12	30	29.990462826
13	30	29.982968388
14	30	29.973770136
15	30	29.978313489
16	30	29.984906769
17	30	30.00477
18	30	30.022470511
9	31	31.060272
10	31	31.033474816
11	31	31.013146656
12	31	30.996648232
13	31	30.983949756
14	31	30.975363194
15	31	30.97376199863
16	31	30.979557007
17	31	30.992448098
18	31	31.012158
10	32	32.03972
11	32	32.020011026
12	32	31.999110139
13	32	31.988084339
